zipcode,ZipState,PctUrban,TotPop10,MedianAge,pctBlackAlone,pctAsianAlone,pctHispanicAlone,MedianHHInc,college_plus,unempRate,HHSize,weight
60586,Illinois,99.8,46251,30.8,5.5,2.1,18.8,89476,33.6,6.9,3.53,1.200819023
60601,Illinois,100,11110,34.5,6.9,19.4,5.9,80613,80.8,3.1,1.49,0.865101867
60602,Illinois,100,1204,32.1,2.7,20.1,14,81750,83.4,2.1,1.81,0.966796194
60603,Illinois,100,493,27.1,4.7,27.4,5,107056,82.8,2.9,1.72,0.804303155
60604,Illinois,100,570,52.6,0,12.9,3.5,105984,82.5,9.6,1.48,0.600883652
60605,Illinois,100,24668,33.9,21.5,16.1,4.7,71362,73.6,3.2,1.67,1.078051827
60606,Illinois,100,2308,30.9,2.1,11,5.9,101912,89.5,1.8,1.64,0.858445766
60607,Illinois,100,23897,30.9,17,19.1,7,80501,70.8,7.2,1.96,0.920794518
60608,Illinois,100,82739,30.9,15.6,9,58.6,35603,17.9,9.8,2.84,1.735875329
60609,Illinois,100,64906,29.1,28.5,3.8,49.6,34966,10.7,13.3,3.29,1.773331037
60610,Illinois,100,37726,34.6,16.7,7.7,5,71986,71.3,4.5,1.63,1.000040113
60611,Illinois,100,28718,42.9,3.2,14.8,4.7,87094,80.4,5.2,1.51,0.772678761
60612,Illinois,100,33472,30.3,62.4,5.1,11.3,35120,32.6,8.7,2.56,2.049523927
60613,Illinois,100,48281,31.9,6.5,6.8,9.9,65118,71.5,4.7,1.81,0.993900879
60614,Illinois,100,66617,30.1,3.9,5.7,6.7,86763,82.6,3.9,1.91,0.919344847
60615,Illinois,100,40603,33.8,60.9,6.2,6,39133,51.6,9.8,2.01,1.62994027
60616,Illinois,100,48433,36,25.4,37.3,10.4,42218,37,8.7,2.2,1.175860551
60617,Illinois,100,84155,35.7,53.9,0.3,37.3,38827,16.2,9.6,2.93,2.263059876
60618,Illinois,100,92084,32.5,2.2,4.7,47.3,56935,37.7,6.1,2.73,1.426057259
60619,Illinois,100,63825,39.4,97.1,0.2,0.9,34773,22.6,13.2,2.46,2.301224129
60620,Illinois,100,72216,37.6,97.5,0.1,0.9,33301,13.5,14.5,2.87,2.384341332
60621,Illinois,100,35912,31.6,97.1,0,1,19623,6.1,13.4,2.85,2.851581835
60622,Illinois,100,52548,31,8,3.3,29,67493,59.5,4.6,2.3,1.255830671
60623,Illinois,100,92108,27.3,34.1,0.2,62.8,29736,7.3,9.9,3.6,2.508145231
60624,Illinois,100,38105,27.3,95.8,0.1,1.9,22511,8.9,11.3,3.16,3.050937473
60625,Illinois,100,78651,32.8,4.1,13.1,39.2,55000,39.6,6.8,2.68,1.316327252
60626,Illinois,100,50139,32.6,25.6,7.5,23,38056,41.6,6,2.22,1.57086299
60628,Illinois,100,72202,37.1,93.9,0.3,2.9,39002,16.2,10.6,2.97,2.613716128
60629,Illinois,100,113916,29.1,24.5,0.7,65,40698,8.8,9.1,3.71,2.22489577
60630,Illinois,100,54093,38,1.1,9.6,25.7,56590,30.1,8.2,2.74,1.155048222
60631,Illinois,100,28641,43.5,0.8,2,10.3,78015,35.3,4.7,2.45,1.080322397
60632,Illinois,100,91326,28.5,1.6,4.1,83.1,39554,9,10.5,3.85,1.91231986
60633,Illinois,100,12927,37,26.2,0.6,41.3,42205,14.9,7.7,2.69,1.81926797
60634,Illinois,100,74298,38.9,1.3,3.7,34.2,56500,21.2,7.4,2.89,1.315067857
60636,Illinois,100,40916,32.1,94.2,0.1,3.1,26218,7.3,18.3,3.36,2.305601161
60637,Illinois,100,49503,31.7,77.4,3.9,1.8,27167,30.6,13.3,2.35,1.959000998
60638,Illinois,100,55026,37.2,3.7,1.1,39.5,59529,18.3,6.7,2.79,1.396116597
60639,Illinois,100,90407,30.5,16.7,0.6,74.8,38997,8.1,9.7,3.55,2.132187078
60640,Illinois,100,65790,36.8,18.1,12.9,13.1,47132,51.9,6.1,1.83,1.179285259
60641,Illinois,100,71663,35.3,2.4,4.3,53.1,47232,22,9.6,2.9,1.42258985
60642,Illinois,100,18480,31.8,13,5.6,22.9,68934,60.2,6.5,2.07,1.120303261
60643,Illinois,100,49952,42.6,72.6,0.3,2.6,61851,34.3,9.3,2.79,1.91185217
60644,Illinois,100,48648,32.5,94,0.3,3.1,26520,9.6,14.5,2.86,2.475803207
60645,Illinois,100,45274,35.3,15.3,15.7,21.4,48169,39.1,5.1,2.92,1.502023181
60646,Illinois,100,27177,43.1,1.7,10.4,12,72913,46.6,5.6,2.6,1.068557179
60647,Illinois,100,87291,31.4,6.3,2.7,51.9,51066,40.9,6.2,2.53,1.516086506
60649,Illinois,100,46650,38.3,93.8,0.2,1.7,30135,24.4,11.5,2.07,2.311923679
60651,Illinois,100,64267,31.5,64.2,0.3,31.2,30963,9.9,11.7,3.26,2.469029319
60652,Illinois,100,40959,34.7,50,0.4,31.8,66288,20.2,7.4,3.22,2.054379137
60653,Illinois,100,29908,34.3,92.3,0.6,2.2,25512,26.9,14.3,2.24,2.203901576
60654,Illinois,100,14875,32.9,3.9,10.6,8.6,88805,81.4,6.7,1.47,0.741003064
60655,Illinois,100,28550,37.9,7,0.7,4.9,86475,37.9,5.9,2.73,1.07320527
60656,Illinois,100,27613,40.4,0.8,7.3,11.2,54948,28.6,5.7,2.36,1.118398384
60657,Illinois,100,65996,30.4,2.7,6.6,6.9,75685,79.5,3.9,1.83,0.928949208
60659,Illinois,100,38104,34.6,6.2,29.4,22.7,47172,34.7,6.2,3.11,1.324031118
60660,Illinois,100,42752,35.6,17,12.4,18.3,38303,49.8,7.2,1.88,1.236098727
60661,Illinois,100,7792,30.9,7.4,20.4,5.3,95316,84.7,3.8,1.53,0.806003976
